,hour,minute,Carbon Intensity gCO₂eq/kWh (direct) median,Carbon Intensity gCO₂eq/kWh (direct) mean,Carbon Intensity gCO₂eq/kWh (direct) percentile_25,Carbon Intensity gCO₂eq/kWh (direct) percentile_75,Carbon Intensity gCO₂eq/kWh (LCA) median,Carbon Intensity gCO₂eq/kWh (LCA) mean,Carbon Intensity gCO₂eq/kWh (LCA) percentile_25,Carbon Intensity gCO₂eq/kWh (LCA) percentile_75,Low Carbon Percentage median,Low Carbon Percentage mean,Low Carbon Percentage percentile_25,Low Carbon Percentage percentile_75,Renewable Percentage median,Renewable Percentage mean,Renewable Percentage percentile_25,Renewable Percentage percentile_75
28,7,0,355.1,346.71967032967035,311.03499999999997,389.17,445.36,436.4726373626374,392.83000000000004,488.635,31.11,32.64274725274725,25.494999999999997,40.605000000000004,26.89,28.084395604395603,20.835,34.245
29,7,15,354.765,343.91686813186817,309.70125,384.01,445.1025,433.2535989010989,389.78499999999997,484.17125,32.685,33.199313186813185,25.53125,41.10625,26.715,28.725741758241757,21.9375,34.8725
30,7,30,352.22,341.11406593406593,306.64250000000004,377.3975,444.845,430.0345604395604,386.555,475.39,33.07,33.75587912087912,26.9925,41.1125,27.73,29.367087912087914,22.64,35.56
31,7,45,346.7075,338.31126373626375,308.7525,370.205,435.5175,426.815521978022,387.7625,464.9325,33.2725,34.31244505494505,27.975,41.0375,28.8825,30.008434065934065,23.77375,37.01625
32,8,0,340.51,335.5084615384615,308.03,367.345,432.03,423.5964835164835,387.745,462.325,33.74,34.86901098901099,28.2,41.685,30.1,30.649780219780222,24.595,36.955
33,8,15,331.455,324.190521978022,297.72375,353.265,417.3325,410.5296153846154,376.635,446.4325,36.4675,37.0646978021978,30.81375,43.905,32.442499999999995,33.043846153846154,26.80375,39.0325
34,8,30,320.1,312.8725824175824,289.13,341.76750000000004,406.27,397.46274725274725,367.1125,431.4575,38.795,39.260384615384616,33.2,46.105000000000004,35.04,35.43791208791209,29.79,41.16
35,8,45,307.33,301.5546428571429,279.485,327.20500000000004,390.4275,384.39587912087916,357.51,415.80875000000003,40.9475,41.45607142857143,35.9625,46.89375,37.2775,37.831978021978024,32.945,43.59375
36,9,0,294.56,290.2367032967033,266.73,314.395,377.3,371.329010989011,342.45500000000004,399.84000000000003,43.11,43.651758241758245,38.745000000000005,48.980000000000004,39.38,40.22604395604396,35.78,45.06
37,9,15,286.115,281.69670329670333,257.73875,307.37750000000005,366.7525,361.48925824175825,332.08124999999995,391.73375,44.6325,45.230961538461536,40.17125,50.19125,41.28,41.91425824175825,37.307500000000005,46.631249999999994
38,9,30,276.775,273.15670329670326,250.64499999999998,299.82,353.695,351.6495054945055,323.34499999999997,382.675,46.085,46.81016483516484,41.6225,52.06,42.790000000000006,43.60247252747253,38.7725,48.6375
39,9,45,265.71500000000003,264.6167032967033,241.62125,292.13125,343.6675,341.80975274725273,313.70875,374.10749999999996,47.805,48.38936813186813,43.14375,53.74,44.935,45.29068681318682,40.4925,50.15625
40,10,0,257.14,256.0767032967033,231.845,286.03499999999997,335.44,331.97,301.35,367.02,50.69,49.96857142857143,44.7,55.08,47.43,46.9789010989011,42.19,51.985
41,10,15,253.35250000000002,251.62368131868132,227.55124999999998,281.08500000000004,330.73,326.8134340659341,297.575,361.06375,51.42,50.774890109890116,45.4275,55.9575,48.067499999999995,47.830576923076926,42.8825,53.025000000000006
42,10,30,250.29000000000002,247.17065934065934,222.625,276.185,326.02,321.6568681318681,291.6875,356.3975,51.705,51.581208791208795,46.485,56.9975,48.555,48.68225274725275,43.572500000000005,54.052499999999995
43,10,45,245.8375,242.71763736263736,216.64875,271.57000000000005,321.31,316.5003021978022,284.55375000000004,351.25374999999997,52.339999999999996,52.38752747252747,47.38875,58.12125,49.042500000000004,49.53392857142857,44.24875,54.5475
44,11,0,242.08,238.2646153846154,213.14499999999998,266.565,316.45,311.3437362637363,280.69,345.12,53.5,53.19384615384616,48.17,59.150000000000006,50.19,50.385604395604396,45.02,55.485
45,11,15,237.975,235.98607142857145,209.615,264.10749999999996,311.155,308.6954120879121,276.35375,341.80375000000004,54.175,53.61480769230769,48.478750000000005,59.5175,51.2725,50.824368131868134,45.5475,56.1575
46,11,30,233.56,233.70752747252746,206.93,261.24,305.86,306.04708791208793,272.9525,338.9625,54.575,54.03576923076923,48.83,60.025000000000006,51.725,51.263131868131865,45.910000000000004,56.65
47,11,45,229.14499999999998,231.4289835164835,204.2625,258.62125000000003,300.565,303.39876373626373,269.71000000000004,336.38625,55.2725,54.45673076923077,49.21625,60.62375,52.1625,51.70189560439561,46.400000000000006,57.416250000000005
48,12,0,224.97,229.15043956043954,201.215,255.63,297.14,300.7504395604396,266.79,333.615,55.31,54.87769230769231,49.675,61.31,52.47,52.14065934065934,47.025,58.03
49,12,15,223.9425,228.29112637362638,199.135,254.36125,296.93,299.76054945054943,264.38625,331.86125,55.4475,55.01184065934066,49.82125,61.29125,52.6325,52.25895604395604,47.29625,58.20375
50,12,30,223.485,227.43181318681317,198.01749999999998,253.2575,294.22,298.77065934065934,262.02,330.265,55.625,55.14598901098901,49.9925,61.272499999999994,53.03,52.37725274725275,47.5375,58.4925
51,12,45,222.1325,226.5725,196.89,252.15375,292.315,297.78076923076924,260.755,328.88125,55.7475,55.28013736263737,50.24875,61.4225,53.365,52.495549450549454,47.832499999999996,58.60875
52,13,0,221.49,225.71318681318684,195.785,251.05,289.97,296.79087912087914,259.82500000000005,327.71000000000004,55.76,55.41428571428571,50.525,61.629999999999995,53.33,52.61384615384615,47.965,58.89
53,13,15,222.54250000000002,226.27142857142857,195.425,251.08875,291.645,297.42986263736265,259.41375000000005,326.71875,55.9425,55.308626373626375,50.599999999999994,61.65,53.21,52.48434065934066,47.77875,58.60625
54,13,30,222.58499999999998,226.82967032967034,195.065,251.9575,292.515,298.06884615384615,259.0025,327.65749999999997,56.11,55.20296703296704,50.555,61.6375,53.015,52.354835164835166,47.947500000000005,58.2775
55,13,45,224.2925,227.38791208791207,195.18875,252.38875000000002,293.235,298.70782967032966,259.06499999999994,329.16874999999993,56.105,55.09730769230769,50.695,61.36750000000001,52.902499999999996,52.22532967032967,47.86,57.974999999999994
56,14,0,224.91,227.94615384615383,195.525,253.185,293.9,299.3468131868132,260.27,329.38,56.22,54.99164835164835,50.394999999999996,61.285,52.7,52.09582417582418,47.595,57.905
57,14,15,229.3375,230.18063186813185,195.32875,255.54,299.76750000000004,301.9637087912088,261.65374999999995,332.09625,55.97,54.529093406593404,50.056250000000006,61.131249999999994,51.8725,51.612445054945056,47.21875,57.761250000000004
58,14,30,229.95499999999998,232.4151098901099,196.58499999999998,257.70500000000004,302.49,304.5806043956044,262.60999999999996,335.0025,55.825,54.066538461538464,49.582499999999996,61.072500000000005,51.715,51.129065934065935,46.86,57.7625
59,14,45,230.4675,234.6495879120879,198.6025,259.635,302.83500000000004,307.1975,264.24375,337.69375,55.1875,53.60398351648351,48.905,60.903749999999995,51.9275,50.64568681318681,46.5175,57.5725
60,15,0,230.98,236.88406593406594,200.05,263.25,302.49,309.8143956043956,266.15999999999997,341.12,55.1,53.14142857142857,48.215,60.745,51.3,50.1623076923077,46.040000000000006,57.045
61,15,15,235.0075,242.64052197802195,204.68625,267.57875,307.55,316.4997252747253,270.07,345.65999999999997,54.2325,52.03236263736263,47.02,60.31,50.589999999999996,49.00700549450549,44.325,56.38375
62,15,30,242.79000000000002,248.39697802197801,209.58999999999997,275.5925,316.345,323.18505494505496,276.1775,355.395,53.099999999999994,50.92329670329671,45.9075,59.725,49.445,47.8517032967033,43.1225,55.695
63,15,45,244.22,254.15343406593408,214.02875,282.98125,318.3375,329.87038461538464,282.28875000000005,364.80375000000004,52.61,49.814230769230775,43.558749999999996,58.85875,48.5975,46.696401098901106,40.795,55.036249999999995
64,16,0,247.97,259.9098901098901,218.76,289.76,325.1,336.55571428571426,287.8,372.89,52.12,48.70516483516484,41.815,57.97,47.91,45.5410989010989,39.215,54.144999999999996
65,16,15,255.53000000000003,266.040054945055,225.61,295.0125,330.855,343.60412087912084,295.07375,378.24625000000003,51.04,47.57851648351648,40.985,56.739999999999995,46.4725,44.36068681318682,38.25125,52.86375
66,16,30,261.46,272.1702197802198,231.925,303.34,339.28,350.6525274725275,302.6675,385.4475,49.91,46.45186813186813,39.7375,55.432500000000005,45.31999999999999,43.18027472527473,36.8025,51.760000000000005
67,16,45,265.64250000000004,278.3003846153846,238.59375,308.87250000000006,344.295,357.70093406593406,309.71125,391.87125000000003,48.265,45.32521978021978,38.54625,54.01625,44.260000000000005,41.99986263736264,35.78125,50.588750000000005
68,17,0,271.89,284.43054945054945,245.42000000000002,312.36,351.5,364.7493406593407,315.83000000000004,395.97,46.59,44.198571428571434,37.955,52.96,43.22,40.81945054945055,35.165,49.415000000000006
69,17,15,282.66,290.4813736263736,252.84375,319.71625,363.26,371.7713186813187,323.98,406.30125,45.235,43.02395604395604,36.90625,51.7825,41.8275,39.62623626373627,34.69625,48.16875
70,17,30,289.32,296.5321978021978,258.1625,323.745,370.79999999999995,378.79329670329673,331.3125,412.0875,43.5,41.84934065934066,36.26,50.55500000000001,40.075,38.43302197802198,33.185,47.08
71,17,45,295.795,302.583021978022,266.25,328.68999999999994,378.83250000000004,385.8152747252748,341.34999999999997,414.85125000000005,42.44,40.674725274725276,35.43625,49.660000000000004,38.9225,37.23980769230769,32.886250000000004,46.10125
72,18,0,304.62,308.63384615384615,274.725,333.755,387.81,392.83725274725276,349.605,422.56,40.42,39.50010989010989,33.245,47.825,37.47,36.0465934065934,30.45,43.95
73,18,15,312.48749999999995,315.0118131868132,279.9825,343.7875,396.77750000000003,400.14359890109887,357.6,433.6625,38.8425,38.33826923076923,32.760000000000005,46.276250000000005,35.207499999999996,34.82222527472527,29.48625,42.93875
74,18,30,320.22,321.3897802197802,288.995,349.9,406.90999999999997,407.44994505494503,366.4125,442.14,37.28,37.176428571428566,32.1725,45.012499999999996,33.91,33.597857142857144,28.449999999999996,41.35
75,18,45,331.2725,327.76774725274726,294.0775,358.70375,421.7525,414.75629120879125,373.47875,452.58375,34.97,36.01458791208791,30.3575,43.94875,31.54,32.37348901098901,26.698749999999997,40.01875
76,19,0,340.66,334.1457142857143,302.11,366.305,428.8,422.0626373626373,381.845,463.455,34.06,34.85274725274725,28.880000000000003,42.36,30.67,31.149120879120883,24.84,38.62
77,19,15,345.26250000000005,337.4637087912088,307.5125,369.60249999999996,435.25,425.765989010989,389.255,466.1475,33.167500000000004,34.346813186813186,27.948749999999997,41.38,29.6875,30.586895604395604,24.1325,37.14375
78,19,30,347.51,340.78170329670326,310.37750000000005,375.755,438.815,429.4693406593407,391.755,471.9975,32.425,33.84087912087912,27.3325,40.475,28.825000000000003,30.02467032967033,23.415,36.585
79,19,45,353.045,344.0996978021978,311.0075,381.73375,442.415,433.1726923076923,393.305,475.3025,31.835,33.33494505494505,26.246250000000003,39.7925,28.26,29.462445054945054,22.90125,35.81125
80,20,0,361.03,347.4176923076923,312.13,391.845,454.14,436.876043956044,394.885,493.0,32.13,32.82901098901099,25.105,39.23,27.37,28.900219780219782,20.73,35.379999999999995
81,20,15,359.5725,347.1301098901099,311.47875,391.6675,454.0675,436.47538461538466,394.22125000000005,493.10375,32.28,32.94478021978022,25.3475,39.1525,27.192500000000003,28.979478021978025,21.055,35.32875
82,20,30,358.97,346.8425274725275,308.7325,391.61249999999995,451.695,436.0747252747253,391.76250000000005,492.4175,32.370000000000005,33.060549450549445,25.590000000000003,39.235,27.365000000000002,29.05873626373626,21.38,35.3825
83,20,45,357.4675,346.55494505494505,305.98625,391.355,452.65999999999997,435.6740659340659,388.54375,491.69875,32.135,33.17631868131868,25.833750000000002,39.317499999999995,27.275,29.137994505494504,21.575,35.43625
84,21,0,355.46,346.2673626373627,305.43,390.525,449.72,435.27340659340655,387.105,491.88,32.18,33.29208791208791,25.97,39.43,27.39,29.217252747252747,21.56,35.49
85,21,15,354.6825,345.5527472527472,301.01,389.45,446.945,434.29021978021984,381.9625,490.0825,32.765,33.55593406593407,26.12,39.64875,27.61,29.42730769230769,21.6725,36.07125
86,21,30,354.16499999999996,344.8381318681319,299.045,388.7025,444.39,433.30703296703297,380.63,486.86,33.18,33.81978021978022,26.435000000000002,40.025,27.8,29.63736263736264,21.86,36.292500000000004
87,21,45,353.6475,344.1235164835165,299.23249999999996,388.1225,441.835,432.32384615384615,381.015,486.10625,33.074999999999996,34.08362637362637,26.807499999999997,39.83625000000001,27.849999999999998,29.84741758241758,22.158749999999998,35.97375
88,22,0,353.13,343.4089010989011,299.435,388.93,440.51,431.34065934065933,381.52,485.83500000000004,33.63,34.347472527472526,27.03,39.995000000000005,28.15,30.057472527472527,22.345,36.2
89,22,15,353.14,342.5510989010989,299.64250000000004,387.15125,440.34000000000003,430.18173076923074,380.93874999999997,484.98375,33.8525,34.64796703296703,27.353749999999998,40.4375,28.545,30.28315934065934,22.395,36.72375
90,22,30,353.15,341.6932967032967,299.89750000000004,387.0875,441.02,429.02280219780215,381.4325,483.28499999999997,34.040000000000006,34.94846153846154,27.777500000000003,40.660000000000004,28.884999999999998,30.508846153846154,22.310000000000002,36.724999999999994
91,22,45,351.77,340.83549450549447,298.44624999999996,385.92625,439.9775,427.8638736263737,380.4,482.1925,34.08,35.24895604395604,27.729999999999997,41.34125,29.6675,30.73453296703297,22.333750000000002,36.94625
92,23,0,350.1,339.97769230769234,296.995,385.355,439.11,426.7049450549451,378.675,482.915,34.23,35.54945054945055,28.195,42.120000000000005,29.96,30.96021978021978,22.665,37.33
93,23,15,349.4575,339.45332417582415,296.59250000000003,385.1425,438.675,425.9994230769231,378.0475,483.93125,34.7025,35.72788461538462,28.1025,42.21,30.3375,31.056098901098903,22.7025,37.61125
94,23,30,348.07,338.928956043956,298.2475,385.9225,438.225,425.29390109890113,379.2175,484.725,34.685,35.90631868131868,28.2875,42.4775,30.28,31.15197802197802,22.78,38.1525
95,23,45,346.245,338.40458791208795,300.0075,386.1425,435.56,424.58837912087915,379.93875,484.86,34.7025,36.08475274725275,28.93125,42.8875,30.465,31.247857142857143,23.00125,38.456250000000004
